标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
无中介费 可月租 可月付 北京南站 洋桥北里 朝南主卧阳台,丰台-西罗园 马家堡路,洋桥北里,3室1厅,18平米,高层(共6层),2550,合租,朝南,无,8/14号线/4号线大兴线
国展地铁 莲竹花园 朝南主卧带阳台 实房入住 3层 随时看房,顺义-新国展 天纬四街12号,莲竹花园,3室1厅,15平米,中层(共6层),2000,合租,朝南,无,15号线
大雄郁金香舍 3室2厅2卫 精装修 电梯房 南北通透,大兴-亦庄 天宝东路,大雄郁金香舍,3室2厅,156平米,中层(共9层),10000,整租,南北,有,亦庄线
正南 2室1厅  都会华庭,朝阳-十里堡 十里堡南里中路,都会华庭,2室1厅,133.8平米,高层(共35层),11000,整租,朝南,无,1/6号线/八通线
次新小区！高端住宅，人车分流，管理严格西城区广安门月坛达官营,西城-广安门外 莲花河北街11号,玺源台,1室1厅,62.8平米,低层(共26层),10500,整租,朝西,有,1/7/9号线
六号线 金安桥首站 北辛安 海棠苑 创业大厦 喜隆多,石景山-金顶街 北辛安南路15号,海棠苑(石景山),3室0厅,18平米,低层(共30层),2200,合租,朝北,有,1/6/11号线/S1线
三里河 月坛 洪茂沟 烟草局 红塔礼堂 精装  两居,西城-月坛 月坛北街15号,洪茂沟小区,2室1厅,49平米,共4层,7300,整租,南北,有,1/2/6/16号线
春节特惠 可短期 精装修 24H安保 安全省心 灯市口大街,东城-灯市口 史家胡同,史家社区,1室1厅,39平米,中层(共10层),9990,整租,朝南,有,1/2/5/6/8号线
有钥匙！新出！可议价！家具家电齐全 位置安静 视野好采光足,朝阳-国展 西坝河南路3号,浩鸿园,2室1厅,124.8平米,低层(共30层),13000,整租,朝西,有,2/5/13号线/首都机场线
中关村海淀黄庄地铁~精装南向61平米大一居 视野开阔e世界,海淀-中关村 中关村大街19号,新中关公寓,1室1厅,61平米,高层(共21层),6500,整租,朝南,有,10号线/4号线大兴线
西城区 鼓楼德胜门附近三进四合院出租 院内停8辆车,西城-大栅栏 樱桃斜街,铁树斜街胡同小区,15室5厅,1367平米,共1层,400000,整租,南北,无,7号线
琨御府精装一居 月租长租 定慧寺慈寿寺十号六号线 八里庄北里,海淀-五路居 玲珑路,琨御府(公寓住宅),1室1厅,45平米,中层(共16层),6700,整租,朝南,有,6/10号线
地铁13号线北苑   华贸城10号院 精装次卧,朝阳-北苑 水岸南街10号,华贸城(10号院),4室1厅,10平米,低层(共27层),2050,合租,朝北,有,13号线
八通线 1号线 梨园站100米 时尚街区东区  开间 可月付,通州-梨园 云景东路8号,园景东区,1室0厅,74.9平米,高层(共19层),3500,整租,朝北,有,八通线
草桥地铁口 草桥欣园三区 精装次卧 家电齐全 随时看房,丰台-草桥 草桥东路,草桥欣园三区,3室1厅,20平米,中层(共6层),1900,合租,朝南,无,10/19号线/大兴机场线/4号线大兴线
西二旗 中关村软件园13号线 融泽嘉园 回龙观新村 智学苑,昌平-龙域 龙域西路2号,融泽嘉园西2号院,3室1厅,12平米,高层(共34层),2300,合租,朝北,有,无
成寿寺地铁 精装全南两居室 包物业取暖 设施全齐 一个月起租,丰台-成寿寺 分钟寺南街1号,恒悦城(分钟寺南街1号),2室1厅,78平米,高层(共17层),6200,整租,朝南,有,10号线
首创开发 万科物业 精装修 保养好 户型方正 无遮挡 随时看,朝阳-四惠 十里堡甲1号,首创爱这城(一期),1室1厅,63平米,中层(共15层),7300,整租,东北,有,1/6号线/八通线
南北通透 随时起租 价格能谈 西二旗地铁站旁 小米快手百度,海淀-西二旗 西二旗西路1号,领秀新硅谷CD区,4室2厅,157平米,共5层,15000,整租,南北,有,13号线/昌平线
北苑路北地铁五号线 暖山生活往西新小区林奥嘉园大厅卧照片,朝阳-北苑 清林东路,林奥嘉园,3室1厅,20平米,中层(共27层),3100,合租,朝东,有,5号线
新光大 通州北关六号线 精装复式带燃气做饭温馨舒适随时入住,通州-北关 滨惠北一街3号,新光大中心,1室1厅,69.6平米,中层(共29层),6500,整租,西北,有,6号线
钥匙房源 随时看房  近地铁 交通便利 房况好 家具家电齐全,朝阳-四惠 京通快速路,东恒时代(一期),1室1厅,68平米,低层(共32层),7000,整租,西北,有,1/14号线/八通线
沙河 恒大城5号院 南北两居室4100 家电齐全 民水民电,昌平-沙河 高教园北四街,恒大城5号院,2室1厅,90平米,低层(共28层),4100,整租,南北,有,无
我爱我家相寓 燕莎新源里东小区中楼层3居室主卧,朝阳-三元桥 新源街,新源里东小区,3室1厅,18平米,共5层,3100,合租,朝南,无,10号线/首都机场线
田村兰德华庭3室2厅,海淀-田村 阜石路35号,兰德华庭,3室2厅,136平米,高层(共13层),11800,整租,南北,无,6号线
枫蓝国际 文慧园 远洋风景 首钢大厦 索家坟小区正规次卧,海淀-小西天 文慧园西路36号,索家坟小区,3室1厅,12平米,高层(共6层),2550,合租,朝东,无,2/13号线/4号线大兴线
（（有3套一起看）高层观景正规两居室！不临街！安静！居家之选,海淀-清河 清河中街68号,橡树湾(三期),2室2厅,96.2平米,中层(共21层),10000,整租,朝南,有,无
中海御鑫阁 2室1厅1卫 C21,丰台-科技园区 六圈路2号,中海御鑫阁,2室1厅,91.1平米,高层(共20层),8800,整租,南北,有,9号线/房山线
长安街 10号线 西钓鱼台 豪装两室全配 随时看房,海淀-公主坟 翠微路,翠微东里,2室1厅,64.4平米,中层(共18层),6999,整租,南北,有,1/10号线
朝阳门 2室2厅1卫 精装修 电梯房 92平,东城-朝阳门 东水井胡同,北京INN,2室2厅,92.7平米,中层(共15层),13000,整租,朝东,有,1/2/5/6号线
整租| 冷泉 保利西山林语 精装修 品质三居 随时入住,海淀-西北旺 黑龙潭路,保利西山林语,3室1厅,91平米,低层(共9层),6400,整租,南北,有,无
金台路大望路团结湖呼家楼朝阳公园地铁国贸东大桥三里屯精装修,朝阳-慈云寺 大望路慈云寺46号,慈云寺小区(南区),2室1厅,64.5平米,中层(共17层),5500,整租,东南,无,1/14号线/八通线
康顺园 主卧带卫生间带阳台 集中供暖 紧邻绿地缤纷城水晶广场,大兴-黄村 滨河街13号,康顺园,3室2厅,25平米,低层(共6层),2499,合租,朝南,无,4号线大兴线
前泥洼一居 泥洼地铁10号线 出行方便 临近西国贸亿潼隆,丰台-丰益桥 丰管路,前泥洼小区(一区),1室1厅,60平米,低层(共13层),3900,整租,南北,有,9/10/14号线/房山线
九棵树地铁旁瑞都国际 精装两居 家电齐全 随时看房 月付,通州-九棵树 九棵树西路78号,瑞都国际中心,2室1厅,102平米,低层(共28层),4800,整租,南北,有,八通线
望京来广营马南里崔各庄15号线地坛医院附近京旺家园一居室出租,朝阳-朝阳周边 金港南路,京旺家园七区,1室1厅,60平米,中层(共11层),4300,整租,朝南,有,无
首月免500元6号线褡裢坡黄渠精装次卧泰福苑定福家园定福庄北,朝阳-定福庄 朝阳北路,泰福苑(三区),3室1厅,13平米,中层(共23层),1699,合租,朝北,有,6号线/八通线
海淀清河 业主直签 电梯房 永泰庄 强佑清河新城(东区),海淀-清河 京藏高速,强佑清河新城(东区),3室2厅,141.1平米,高层(共27层),11500,整租,东南,有,8号线
无中介费  精装修三居室 随时能起租 干净温馨  富力城C区,朝阳-双井 东三环中路59号,富力城(C区),3室2厅,126平米,高层(共29层),17500,整租,朝南,有,1/7/10号线
南北通透 新华联国际公寓 可接待 可居家 随时起租 价格可谈,海淀-公主坟 翠微路12号,新华联国际公寓,4室2厅,274.7平米,中层(共23层),58000,整租,南北,有,1/10号线
南北通透 4室2厅  首开琅樾,朝阳-孙河 京平高速,首开琅樾,4室2厅,230平米,中层(共9层),32000,整租,南北,有,无
月付月租地铁10号线丰台站三环新城刘家村两家合住次卧随时入住,丰台-玉泉营 丰桥路7号,三环新城7号院,3室1厅,15平米,中层(共6层),2000,合租,朝南,无,10号线
骏城 主卧出租 可月付 随时入住 高米店 枣园,"大兴-黄村 兴盛街,近康庄路",骏城,3室1厅,30平米,高层(共7层),2100,合租,朝南,无,无
新光大9B 大面积平层 楼下地铁口 北关6线 提包入住,通州-北关 滨惠北一街3号,新光大中心,1室1厅,97平米,高层(共41层),9999,整租,朝西,有,6号线
无中介费 可月付 13号线北苑 清友园集中供暖 干净整洁,朝阳-北苑 春华路,清友园,4室1厅,20平米,低层(共25层),2437,合租,朝北,有,5/13号线
物业直租可月付王府井200米 故宫 协和医院家电齐全 随时住,东城-王府井 晨光街10号,红霞公寓,1室1厅,35平米,中层(共6层),4999,整租,朝南,无,1/5/8号线
C21保真 人大附福润四季精装两居 配置齐全随时看房入住,朝阳-东坝 管庄路(旧:和敬路4号院),北京城建福润四季A区,2室1厅,76.5平米,低层(共12层),5200,整租,朝东,有,无
大都会滨江 中层看河 三居 有单独衣帽间 性价比 提包入住,通州-北关 通燕高速,万科大都会滨江,3室2厅,149平米,低层(共42层),16999,整租,朝北,有,6号线
（精选）亚运村 精装两居室 慧忠北里 家具齐全 紧邻奥森,朝阳-亚运村 安立路,慧忠北里第二社区,2室1厅,70平米,中层(共6层),8500,整租,东西,有,5/8/15号线
押一付一，亚林西全南向两居室，可以短期租，随时看房,丰台-右安门 西铁营中路9号,亚林西居住区,2室1厅,58平米,中层(共29层),5800,整租,朝南,有,14号线
S1沿线，次新小区，带电梯，精装三居室，东西齐全，看房方便,门头沟-永定 永定石龙南路,保利首开四季怡园(南区),3室1厅,88.4平米,高层(共26层),4500,整租,朝南,有,S1线
新上实拍！东坝 丽湾家园 精装两居 全明格局 头次出租随时看,朝阳-东坝 东坝中街19号,丽湾家园,2室1厅,89.3平米,低层(共29层),6500,整租,东西,有,无
业主精心装修！远洋山水急租好房，现在已经是七开头的价格还可聊,石景山-八宝山 莲石东路,远洋山水(南区),2室2厅,97平米,中层(共27层),7300,整租,朝东,有,1号线
免中介费 六里桥 银座和谐广场 莲宝路 盛今大厦 次卧带阳台,丰台-六里桥 莲宝路2号,盛今大厦,4室1厅,20平米,低层(共16层),2350,合租,朝南,有,9/10号线
八通线 1号线 梨园站100米 时尚街区东区  开间 可月付,通州-梨园 云景东路8号,园景东区,1室0厅,74.9平米,高层(共19层),3500,整租,朝北,有,八通线
大兴西红门瑞海家园二区精装主卧2000元家电齐全低楼层随时看,大兴-西红门 宏业路,瑞海二区(瑞海家园二区),2室1厅,25平米,低层(共6层),2000,合租,朝南,无,4号线大兴线
新发地周边天骄骏园精装一居室出租,丰台-新发地 潘家庙路9号,天骄俊园(北区),1室1厅,58平米,低层(共15层),4500,整租,朝南,有,19号线
颐源居 空房2居 动静分离户型 翠微配套齐全 随时可起租,海淀-公主坟 翠薇路4号,颐源居,2室2厅,121.3平米,高层(共27层),13500,整租,东南,有,1/10号线
西二旗 中关村软件园13号线 融泽嘉园 回龙观新村 智学苑,昌平-龙域 龙域西路2号,融泽嘉园西2号院,3室1厅,12平米,高层(共34层),2300,合租,朝北,有,无
百里挑一 金都苑精装一居 丽泽商务区 丽泽SOHO 华为总部,丰台-丽泽桥 三路居路18号,金都苑,1室1厅,73平米,低层(共25层),5500,整租,朝南,有,14号线/房山线
泰禾物业直租 四号线 精装家具家电齐全 拎包即住 随时看房,大兴-黄村 新源大街,泰禾中央广场,2室1厅,80平米,中层(共23层),4500,整租,朝南,有,4号线大兴线
新上豪装|菜户营地铁口  步行丽泽商务区 万泉寺豪装三居室,丰台-菜户营 万泉寺北路,万泉寺北路10号院,3室2厅,150平米,高层(共18层),15000,整租,朝南,有,14号线/房山线
科怡路地铁口 宝隆公寓 一居室 全新家电 随时看房 采光好,丰台-科技园区 百强大道6号,宝隆公寓,1室1厅,59平米,中层(共17层),4499,整租,东南,有,9号线
6号线褡裢坡黄渠站 泰福苑2区全南向小两居 随时看房入住,朝阳-定福庄 朝阳北路,泰福苑二区,2室1厅,60平米,中层(共27层),5050,整租,朝南,有,6号线/八通线
1号线 八角 万达 中铁建 碣石坪小区 精装 南向次卧,石景山-八角 石景山路,碣石坪小区,3室1厅,13平米,低层(共22层),2100,合租,朝南,有,1号线
重磅带车位！一瓶 照片即现状 视野无遮挡 高品质小区 陶然亭,西城-陶然亭 陶然亭路2号,一瓶,2室1厅,238平米,高层(共12层),18500,整租,南北,有,7号线/4号线大兴线
卢沟桥 京港澳高速 京城雅苑 全新精装90平两居 电梯房,丰台-卢沟桥 宛月路1号,京城雅苑,2室1厅,90平米,低层(共23层),4400,整租,南北,有,无
中关村万泉河桥地铁旁百环公寓 芙蓉里小区 精装一居室带套间,海淀-万泉河 芙蓉里1号,芙蓉里小区,1室1厅,48平米,低层(共15层),7500,整租,朝西,有,10/16号线/4号线大兴线
4亚运村慧忠北里第一社区中楼层 大主卧大阳台 带独立厨房,朝阳-亚运村 大屯北路,慧忠北里第一社区,4室1厅,13平米,中层(共25层),3500,合租,朝北,有,5/8/15号线
三元桥 霄云路 佳程广场 天元港 燕莎国际港正南1室1厅出租,朝阳-三元桥 东三环北路戊2号,国际港,1室1厅,71平米,高层(共27层),9000,整租,朝南,有,10号线/首都机场线
海淀清河 业主直签 电梯房 永泰庄 强佑清河新城(东区),海淀-清河 京藏高速,强佑清河新城(东区),3室2厅,141.1平米,高层(共27层),11500,整租,东南,有,8号线
骏城 主卧出租 可月付 随时入住 高米店 枣园,"大兴-黄村 兴盛街,近康庄路",骏城,3室1厅,30平米,高层(共7层),2100,合租,朝南,无,无
仁和花园一区 独立两居电梯房 3500出租,顺义-顺义城区 石园南大街,仁和花园(西区),2室1厅,89平米,共1层,3500,整租,南北,无,无
低楼层 马连洼竹园精装干净两居 实图拍摄 配置齐全 可以长租,海淀-马连洼 马连洼北路,竹园小区,2室1厅,65平米,低层(共6层),6300,整租,南北,无,16号线
六道口 富润家园 静淑东里 农大家属院 学清嘉创精装大卧室,海淀-学院路 清华东路17号,农业大学东校区家属院,3室1厅,18平米,高层(共6层),2400,合租,朝南,无,15号线
王 府 花  园出租多套优房源同看周边社区,昌平-北七家 王府街10号,王府花园,4室2厅,300平米,共2层,15000,整租,朝南,无,无
万科天地无任何杂费高层正南无遮挡特价四千多三居室,大兴-兴华大街 兴华大街三段88号,万科天地(三期),3室1厅,110平米,高层(共12层),4000,整租,朝南,有,4号线大兴线
首座御园二号院 1室 80.14平 低层家具家电 全齐有钥匙,大兴-黄村 清泰路2号,首座御园(二期2号院),1室1厅,80.1平米,低层(共14层),3900,整租,朝东,有,无
大兴瀛海兴瀛嘉苑南北通透一居室，电梯房，八号地铁口附近,大兴-瀛海镇 瀛安街66号,兴瀛嘉苑,1室1厅,67平米,中层(共15层),3700,整租,南北,有,8号线/8号线南段
4号线西红门地铁理想城八期精装修次卧，家具家电齐全，随时入住,大兴-西红门 欣荣南大街5号,理想城(八期),3室1厅,15平米,中层(共24层),1650,合租,朝北,有,无
长安街电梯楼 干净南向一居  有钥匙 随时看,海淀-公主坟 玉渊潭南路,翠微南里,1室1厅,36平米,高层(共6层),4700,整租,朝西,无,1/10号线
紧邻地铁13号线 上地站上地东里六区 2室1厅1卫客厅带阳台,海淀-上地 信息路,上地东里,2室1厅,50平米,高层(共6层),6200,整租,南北,无,13号线
双井地铁 价格可聊 拎包住 大阳台 独门独院安静不临街国贸,朝阳-双井 广渠路66号,百环家园,1室1厅,58.2平米,低层(共26层),6000,整租,朝北,有,7/10/14号线
西山天璟两室一厅交通便利随时入住,门头沟-城子街道 新桥大街,中骏西山天璟,2室1厅,65平米,高层(共28层),2850,整租,朝西,有,无
（武夷花园荔景园）荔景园新区，精装两居，户型方正，采光好,通州-武夷花园 桦秀路229号,荔景园,2室1厅,83.8平米,低层(共15层),3800,整租,南北,有,6号线
二次装修 楼旺大四居室 高楼层 保利中央公园 三卧客厅朝南,朝阳-望京 宏泰东街,保利中央公园,4室2厅,178.6平米,高层(共25层),33000,整租,南北,有,15号线
清河 安宁庄 家具家电齐全 精装修 正南 1室1厅  上林溪,海淀-上地 安宁庄东路,上林溪,1室1厅,45平米,中层(共11层),6400,整租,朝南,有,13号线
太阳宫 芍药居地铁口 精装独卫 合租人员少 看房提前联系,朝阳-芍药居 芍药居路20号,吉利家园,4室1厅,25平米,高层(共24层),3700,合租,朝西,有,10/13号线
亚运村 豪华装修 金泉家园 家私全 领包住 车位充足 甩租,朝阳-亚运村 大屯里306号,金泉家园,2室2厅,93.5平米,低层(共30层),11300,整租,东南,有,5/15号线
整租| 冷泉 保利西山林语 精装修 品质三居 随时入住,海淀-西北旺 黑龙潭路,保利西山林语,3室1厅,91平米,低层(共9层),6400,整租,南北,有,无
万城华府龙园（19年全新装修）270度采光 车位储藏室标配,海淀-万柳 圣化寺路,万城华府龙园,4室3厅,428平米,低层(共6层),75000,整租,南北,有,10号线/西郊线
我爱我家相寓 木樨地木樨地北里中楼层2居室,西城-木樨地 木樨地路,木樨地北里,2室1厅,65平米,共4层,7300,整租,朝西,无,1/2/9/16号线
中关村新中关大厦 高端公寓一居朝南大开间 随时看民宿装修,海淀-中关村 中关村大街19号,新中关公寓,1室1厅,62平米,高层(共19层),8600,整租,朝南,有,10号线/4号线大兴线
（精选）随时起租  亚运村 大屯里小区(北区) 婚房出租,朝阳-亚运村 北苑路,大屯里小区(北区),1室1厅,71平米,中层(共28层),7300,整租,朝北,有,5/15号线
无中介费 可月租 可月付 北京南站 洋桥北里 朝南主卧阳台,丰台-西罗园 马家堡路,洋桥北里,3室1厅,18平米,高层(共6层),2550,合租,朝南,无,8/14号线/4号线大兴线
望京东！新上南向1居，采光好，已做完保洁，木地板很干净！,朝阳-望京 望京街,望京西园三区,1室1厅,83平米,中层(共28层),7600,整租,东南,有,14/15号线
公主坟 国悦府  电梯房 豪华装修 有钥匙随时可看,海淀-公主坟 复兴路51号,国悦府,5室3厅,399.5平米,高层(共20层),90000,整租,南北,有,1/10号线
开阳里(六区) 主卧阳台 南向 2500月 电梯房 精装修,丰台-右安门 开阳里三街,开阳里(六区),3室1厅,20平米,中层(共26层),2500,合租,朝南,有,14号线/4号线大兴线
金城华庭 2室1厅1卫 经典实用 格局方正,西城-金融街 王府仓胡同10号,金城华庭,2室1厅,90.4平米,高层(共18层),23000,整租,朝南,有,1/2/6号线/4号线大兴线
整租，花雨汀小区5居室，双卫，复式，精装修，电梯房看房方便,昌平-昌平县城 中兴路17号,花雨汀,3室2厅,90平米,高层(共8层),4200,整租,南北,有,无
高层南北通透3居 配置齐全 随时起租,朝阳-定福庄 建国路18号,珠江绿洲家园,3室2厅,147.8平米,中层(共31层),10500,整租,南北,有,八通线
使用面积300平 办公自主均可 看房方便 业主包物业和取暖,昌平-北七家 七北路,海德堡花园(别墅),5室2厅,299平米,共3层,9500,整租,南北,无,无
可月付可短期租崇文门磁器口新景家园精装修干净次卧随时看房入住,东城-崇文门 西花市大街32号,新景家园(西区),3室1厅,13平米,中层(共18层),2200,合租,朝东,有,1/2/5/7/8号线
北京南站 四路通 西罗园三区精装主卧阳台 随时入住,丰台-西罗园 马家堡东路,西罗园三区,3室1厅,18平米,中层(共19层),2200,合租,朝南,有,8/10/14号线/8号线南段/4号线大兴线
西局欣园 西局玉园 鼎恒中心 民用水电 集体供暖 价格便宜,丰台-七里庄 丰台北路甲45号,鼎恒中心,2室2厅,101平米,高层(共24层),6500,整租,朝南,有,9/10/14号线
新上  13号线北苑   北苑家园清友园  精装次卧,朝阳-北苑 春华路,清友园,4室1厅,15平米,低层(共25层),2470,合租,东南,有,5/13号线
阳光上东澳洲组团地暖大四居 一梯一户私密安静 花园缭绕看水系,朝阳-酒仙桥 东四环北路6号,阳光上东,4室2厅,260.7平米,低层(共10层),36000,整租,南北,有,14号线
成寿寺地铁楼上10号线  中海城紫鑫阁豪装开间业主急租实图,朝阳-十里河 成寿寺路134号,中海城紫鑫阁,1室0厅,38平米,中层(共23层),4400,整租,朝北,有,5/10号线/亦庄线
沙河 恒大城5号院 南北两居室4100 家电齐全 民水民电,昌平-沙河 高教园北四街,恒大城5号院,2室1厅,90平米,低层(共28层),4100,整租,南北,有,无
西直门 金融街 品质1居 家具齐全 带电梯 精装修 配套成熟,海淀-小西天 西直门北大街58号,金晖嘉园,1室1厅,74.4平米,中层(共27层),8600,整租,朝北,有,2/6/13/19号线/4号线大兴线
六号线金安桥地铁北辛安桃李苑精装大一居室首钢园金顶街附近,石景山-金顶街 北辛安南路20号,梅花苑,1室1厅,55平米,高层(共22层),3800,整租,南北,有,6/11号线/S1线
西二旗 铭科苑带电梯 集中供暖 家具家电齐全 2室1厅,海淀-西二旗 安宁庄西路29号,西二旗铭科苑,2室1厅,89平米,中层(共18层),6500,整租,朝西,有,13号线/昌平线
新时代 翠林 亚林西居住区 2室1厅1卫 精装修 配套齐全,丰台-右安门 西铁营中路9号,亚林西居住区,2室1厅,58平米,高层(共28层),5799,整租,朝南,有,14号线
4号线西红门地铁理想城八期精装修次卧，家具家电齐全，随时入住,大兴-西红门 欣荣南大街5号,理想城(八期),3室1厅,15平米,中层(共24层),1650,合租,朝北,有,无
六道口 富润家园 静淑东里 农大家属院 学清嘉创精装大卧室,海淀-学院路 清华东路17号,农业大学东校区家属院,3室1厅,18平米,高层(共6层),2400,合租,朝南,无,15号线
十里河潘家园|山水文园|接待居家|顶层复式|随时看房,朝阳-华威桥 弘燕路,山水文园中园,5室3厅,376.1平米,高层(共8层),58000,整租,南北,有,10/14/17号线
世界侨商中心1室 超低价出租 采光好,通州-北关 新华北路,世界侨商中心,1室1厅,48.3平米,中层(共19层),4800,整租,东北,有,6号线
西三环 车道沟 紫竹桥 地铁10号线 精装两居家电齐 带车位,海淀-紫竹桥 车道沟南路,车道沟南里小区,2室1厅,57.6平米,低层(共7层),6600,整租,东西,无,6/10号线
正南 2室1厅  都会华庭,朝阳-十里堡 十里堡南里中路,都会华庭,2室1厅,133.8平米,高层(共35层),11000,整租,朝南,无,1/6号线/八通线
电通创意广场 IT电子城 798艺术区 58 将台 大山子,朝阳-大山子 酒仙桥北路1号,环博路2号院,3室1厅,25平米,中层(共18层),2600,合租,朝南,有,无
昌平八号线朱辛庄地铁站精装修55平俩居  随时看房 业主直签,昌平-回龙观 七燕路1号,七燕路1号院,2室1厅,55平米,高层(共21层),5500,整租,朝南,有,8号线/昌平线
西红门地铁 主卧带阳台 紧邻荟聚 兴创国际 鸿坤 山姆会员店,大兴-西红门 欣旺北大街,兴海家园日苑,3室1厅,20平米,中层(共6层),2200,合租,朝南,无,4号线大兴线
酒仙桥 将台路 798产业园 久隆百货 电子城次卧,朝阳-酒仙桥 驼房营南路,电子城小区,3室1厅,15平米,中层(共28层),2300,合租,朝西,有,14号线
临近峪园 晓学 交通便利 2室1厅1卫 75平 精装修,门头沟-大峪 新桥南大街,峪园社区,2室1厅,75平米,低层(共6层),2800,整租,南北,无,无
西北旺中关村软件园，东馨园精装南向单间，百度联想新浪网易腾讯,海淀-马连洼 东北旺中路,东馨园,3室1厅,15平米,高层(共6层),2400,合租,朝南,无,无
紧邻地铁13号线 上地站上地东里六区 2室1厅1卫客厅带阳台,海淀-上地 信息路,上地东里,2室1厅,50平米,高层(共6层),6200,整租,南北,无,13号线
韦伯豪 魏公村佳苑 新小区 新楼盘出租 随时看房入住,海淀-魏公村 魏公村斜街7号,魏公村佳苑,3室2厅,18平米,低层(共25层),2850,合租,朝南,有,9/16号线/4号线大兴线
我爱我家相寓 紫竹桥万景公寓低楼层3居室小次卧1,海淀-紫竹桥 北洼路,万景公寓,3室1厅,10平米,低层(共19层),2300,合租,朝东,无,6/10号线
（武夷花园荔景园）荔景园新区，精装两居，户型方正，采光好,通州-武夷花园 桦秀路229号,荔景园,2室1厅,83.8平米,低层(共15层),3800,整租,南北,有,6号线
金城华庭 2室1厅1卫 经典实用 格局方正,西城-金融街 王府仓胡同10号,金城华庭,2室1厅,90.4平米,高层(共18层),23000,整租,朝南,有,1/2/6号线/4号线大兴线
南北通透 4室2厅  首开琅樾,朝阳-孙河 京平高速,首开琅樾,4室2厅,230平米,中层(共9层),32000,整租,南北,有,无
中海紫御公馆浅色系精装修家具换了新的，南北两居，近大门,东城-永定门 永定门西滨河路8号,中海紫御公馆,2室2厅,92平米,高层(共22层),13000,整租,南北,有,8/14号线/8号线南段/4号线大兴线
国风美唐回龙观东大街地铁口 集中供暖电梯房 出门既地铁,昌平-回龙观 科星西路90号,首开国风美唐朗观,2室1厅,111平米,低层(共18层),6000,整租,南北,有,8/13号线
苏州桥 万泉河16号线 一居室 前两年的装修 租户近期到期,海淀-苏州桥 万泉河路,小南庄社区,1室1厅,55平米,低层(共6层),6300,整租,南北,无,10/16号线/4号线大兴线
七里庄大井 岳各庄 小井 朝南主卧 随时看房,丰台-七里庄 望园东路,小井润园(一区),3室1厅,25平米,中层(共9层),2000,合租,朝南,有,9/10/14号线
实图实价可议价 六里桥东地铁站 太平桥西里 精装一居室随时看,丰台-太平桥 西三环南路,太平桥西里小区,1室1厅,55平米,高层(共15层),4600,整租,朝南,有,7/9/10号线
亚运村 惠新西街北口 北辰集团 安慧里 随时看房 随时入住,朝阳-亚运村 慧忠路,安慧里(二区),3室1厅,13平米,高层(共25层),2300,合租,朝西,有,5/15号线
西城区 西四 赵登禹路林主路二进一跨苏式四合院出租 三车位,西城-西四 前车胡同,前车胡同小区,15室3厅,520平米,共1层,350000,整租,南北,无,2/6号线/4号线大兴线
地铁s1号线上岸站 远洋新天地精装一居室 全新家具家电,门头沟-永定 西长安街,远洋新天地,1室1厅,35平米,低层(共11层),3200,整租,朝西,有,S1线
整租| 冷泉 保利西山林语 精装修 品质三居 随时入住,海淀-西北旺 黑龙潭路,保利西山林语,3室1厅,91平米,低层(共9层),6400,整租,南北,有,无
低楼层 马连洼竹园精装干净两居 实图拍摄 配置齐全 可以长租,海淀-马连洼 马连洼北路,竹园小区,2室1厅,65平米,低层(共6层),6300,整租,南北,无,16号线
新上豪装|菜户营地铁口  步行丽泽商务区 万泉寺豪装三居室,丰台-菜户营 万泉寺北路,万泉寺北路10号院,3室2厅,150平米,高层(共18层),15000,整租,朝南,有,14号线/房山线
新上！看房方便！落地阳台！人车分流！齐全出租！慈寿寺！金源,海淀-四季青 彰化南路,颐慧佳园,2室2厅,154.3平米,高层(共15层),13200,整租,南北,有,6/10号线
可月租可月付 无佣金育新街小区 2室1厅1卫 精装修,西城-陶然亭 菜市口大街,育新街小区,2室1厅,50平米,中层(共6层),6000,整租,朝南,无,14号线/4号线大兴线
紧邻地铁8号线 京品小区 精装修家电齐全 随时入住 看房方便,丰台-西罗园 海户路,京品小区,2室1厅,97平米,中层(共15层),7800,整租,南北,有,8/10号线/8号线南段
租期可商量丨看房随时丨采光好丨一室一厅一卫丨郦城三区,"海淀-四季青 常青园路,近杏石口路",郦城(三区),1室1厅,69平米,高层(共12层),8100,整租,南北,有,无
凯德锦绣 2室1厅1卫 配套齐全 89平 精装修,朝阳-八里庄 慈云寺北里207号,凯德锦绣,2室1厅,89.5平米,中层(共15层),11500,整租,东西,有,1号线/八通线
橄榄城新上三居 初次出租，精装修 家具家电齐全,朝阳-望京 阜通西大街,融科橄榄城(一期),3室2厅,145平米,低层(共32层),19000,整租,朝南,有,15号线
新出！十号线慈寿寺！看房方便！双储物间！双阳台！家具家电齐全,海淀-四季青 彰化南路,颐慧佳园,2室1厅,95.9平米,低层(共6层),11000,整租,南北,有,6/10号线
（总监力推新上房源）长租一居室 拿包入住 随时预约看房,海淀-清河 清河中街68号,橡树湾(三期),1室1厅,72平米,低层(共21层),8288,整租,朝西,有,无
中关村万泉河桥地铁旁百环公寓 芙蓉里小区 精装一居室带套间,海淀-万泉河 芙蓉里1号,芙蓉里小区,1室1厅,48平米,低层(共15层),7500,整租,朝西,有,10/16号线/4号线大兴线
国贸CBD 新城国际 私家园林 原木现代风 温馨舒适拎包即住,朝阳-朝外大街 朝阳门外大街6号,新城国际,4室2厅,264.1平米,中层(共33层),45000,整租,南北,有,1/6/10号线
